epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,335.553,1.69943,0.86321,1,0.38876,0.000195432,0.000195432,0.000195432
2,618.187,0.49642,0.83648,1,0.35783,0.00035268,0.00035268,0.00035268
3,984.224,0.3456,0.86006,1,0.30444,0.00047112,0.00047112,0.00047112
4,1235.74,0.28896,0.87107,1,0.33616,0.000413364,0.000413364,0.000413364
5,1495.26,0.24931,0.87893,1,0.28951,0.000355152,0.000355152,0.000355152
6,1745.52,0.22288,0.91195,1,0.23644,0.00029694,0.00029694,0.00029694
7,2026.64,0.17159,0.89151,1,0.28389,0.000238728,0.000238728,0.000238728
8,2289.26,0.15646,0.90881,1,0.27288,0.000180516,0.000180516,0.000180516
9,2540.48,0.14875,0.91038,1,0.24994,0.000122304,0.000122304,0.000122304
10,2972.03,0.1411,0.8978,1,0.25334,6.4092e-05,6.4092e-05,6.4092e-05
